id,name_concept_id,left_language,left_value,right_language,right_value,relation_type,confidence,person_identity_merge_policy,source_ids
rel-0020,ce-name-khava,ce,Хъава,ru,Хава,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0021,ce-name-selimat,ce,Селимат,ru,Селимат,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0022,ce-name-selikhat,ce,Селихьат,ru,Селихат,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0023,ce-name-khasipat,ce,Хьасипат,ru,Хасипат,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0024,ce-name-muminat,ce,Муъминат,ru,Муминат,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0025,ce-name-maimonat,ce,Маймонат,ru,Маймонат,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0026,ce-name-fariza,ce,Перза,ru,Фариза,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0027,ce-name-perizat,ce,Перизат,ru,Перизат,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0028,ce-name-sultanat,ce,Султанат,ru,Султанат,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0029,ce-name-elisa,ce,Элиса,ru,Элиса,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0030,ce-name-elza,ce,Эльза,ru,Эльза,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0031,ce-name-enisa,ce,Эниса,ru,Эниса,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0032,ce-name-deti,ce,Дети,ru,Дети,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0033,ce-name-deshi,ce,Деши,ru,Деши,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0034,ce-name-zhovkhar,ce,ЖовхӀар,ru,Жовхар,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0035,ce-name-zezag,ce,Зезаг,ru,Зезаг,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0036,ce-name-zaza,ce,Заза,ru,Заза,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0037,ce-name-polla,ce,Полла,ru,Полла,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0038,ce-name-yakha,ce,Яха,ru,Яха,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0039,ce-name-yakhiyta,ce,Яхийта,ru,Яхийта,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0040,ce-name-chovka,ce,Човка,ru,Човка,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0041,ce-name-khokha,ce,Кхокха,ru,Кхокха,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0042,ce-name-aibika,ce,Айбика,ru,Айбика,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0043,ce-name-alpatu,ce,Алпату,ru,Алпату,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0044,ce-name-baisari,ce,Байсари,ru,Байсари,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0045,ce-name-dagman,ce,Дагман,ru,Дагман,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0046,ce-name-zhovsari,ce,Жовсари,ru,Жовсари,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0047,ce-name-kamsari,ce,Камсари,ru,Камсари,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0048,ce-name-marzet,ce,Марзет,ru,Марзет,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0049,ce-name-nanash,ce,Нанаш,ru,Нанаш,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0050,ce-name-siilzhan,ce,Сийлжан,ru,Силжан,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0051,ce-name-tovsari,ce,Товсари,ru,Товсари,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0052,ce-name-yazara,ce,Язара,ru,Язара,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0053,ce-name-yazura,ce,Язура,ru,Язура,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0054,ce-name-vaha,ce,Ваха,ru,Ваха,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0055,ce-name-vakhiyta,ce,Вахийта,ru,Вахийта,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0056,ce-name-lecha,ce,Леча,ru,Леча,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0057,ce-name-borz,ce,Борз,ru,Борз,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0058,ce-name-kuira,ce,Куьра,ru,Куьра,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0059,ce-name-dika,ce,Дика,ru,Дика,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0060,ce-name-veza,ce,Веза,ru,Веза,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0061,ce-name-visa,ce,Виса,ru,Виса,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0062,ce-name-visar,ce,Висар,ru,Висар,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0063,ce-name-visita,ce,Висита,ru,Висита,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0064,ce-name-akhmad,ce,Ахьмад,ru,Ахмат,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0065,ce-name-adam,ce,Адам,ru,Адам,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0066,ce-name-abubakar,ce,Абубакар,ru,Абубакар,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0067,ce-name-abdurakhman,ce,Ӏабдурахьман,ru,Абдурахман,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0068,ce-name-ibrahim,ce,ИбрахӀим,ru,Ибрагим,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0069,ce-name-idris,ce,Идрис,ru,Идрис,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0070,ce-name-isa,ce,Ӏиса,ru,Иса,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0071,ce-name-islam,ce,Ислам,ru,Ислам,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0072,ce-name-ismail,ce,ИсмаьӀил,ru,Исмаил,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
