id,name_concept_id,left_language,left_value,right_language,right_value,relation_type,confidence,person_identity_merge_policy,source_ids
rel-0083,ce-name-yunus,ce,Юнус,ru,Юнус,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0084,ce-name-yusup,ce,Юсуп,ru,Юсуп,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0085,ce-name-yakub,ce,Якъуб,ru,Якуб,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0086,ce-name-bilal,ce,Билал,ru,Билал,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0087,ce-name-daud,ce,Дауд,ru,Дауд,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0088,ce-name-osman,ce,Осман,ru,Осман,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0089,ce-name-umar,ce,Ӏумар,ru,Омар,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0090,ce-name-shamil,ce,Шемил,ru,Шамиль,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0091,ce-name-shuaib,ce,ШоӀип,ru,Шугаип,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0092,ce-name-jabrail,ce,Джабраьил,ru,Джабраил,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0093,ce-name-zaur,ce,Заур,ru,Заур,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0094,ce-name-anzor,ce,Анзор,ru,Анзор,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0095,ce-name-beka,ce,Бека,ru,Бека,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0096,ce-name-beksolta,ce,Бексолта,ru,Бексолтан,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0097,ce-name-surkho,ce,Сурхо,ru,Сурхо,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0098,ce-name-movsar,ce,Мовсар,ru,Мовсар,ATTESTED_CROSS_LANGUAGE_FORM,HIGH_FOR_1987_ATTESTATION_REVIEW_CURRENT_ORTHOGRAPHY,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987
rel-0099,ce-name-aishat,ce,Ӏайшат,ce,1айшат,LEGACY_PALOCHKA_ENCODING,HIGH,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987|SRC_WAY_EDITORIAL_V01
rel-0100,ce-name-aishat,ru,Айшат,ru,Айша,SHORT_OR_ARABIC_SOURCE_FORM,MEDIUM,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987|SRC_WAY_EDITORIAL_V01
rel-0101,ce-name-aishat,en,Aishat,en,Aisha,CONVENTIONAL_LATIN_VARIANT,MEDIUM,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987|SRC_WAY_EDITORIAL_V01
rel-0102,ce-name-aishat,tr,Ayşe,ar,عائشة,ETYMOLOGICAL_SOURCE_COGNATE,HIGH,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987|SRC_WAY_EDITORIAL_V01
rel-0103,ce-name-petimat,ce,ПетӀимат,ce,Пет1имат,LEGACY_PALOCHKA_ENCODING,HIGH,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987|SRC_WAY_EDITORIAL_V01
rel-0104,ce-name-petimat,ru,Петимат,ru,Фатима,ETYMOLOGICAL_COGNATE,MEDIUM,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987|SRC_WAY_EDITORIAL_V01
rel-0105,ce-name-petimat,tr,Fatma,ar,فاطمة,ETYMOLOGICAL_SOURCE_COGNATE,HIGH,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987|SRC_WAY_EDITORIAL_V01
rel-0106,ce-name-khadizhat,ru,Хадижат,en,Khadija,ETYMOLOGICAL_OR_CONVENTIONAL_COGNATE,MEDIUM,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987|SRC_WAY_EDITORIAL_V01
rel-0107,ce-name-khadizhat,tr,Hatice,ar,خديجة,ETYMOLOGICAL_SOURCE_COGNATE,HIGH,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987|SRC_WAY_EDITORIAL_V01
rel-0108,ce-name-zainap,ru,Зайнап,en,Zaynab,CONVENTIONAL_COGNATE,MEDIUM,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987|SRC_WAY_EDITORIAL_V01
rel-0109,ce-name-zainap,tr,Zeynep,ar,زينب,ETYMOLOGICAL_SOURCE_COGNATE,HIGH,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987|SRC_WAY_EDITORIAL_V01
rel-0110,ce-name-maryam,ce,Марем,ru,Марьям,ATTESTED_CROSS_LANGUAGE_FORM,HIGH,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987|SRC_WAY_EDITORIAL_V01
rel-0111,ce-name-maryam,en,Maryam,tr,Meryem,CONVENTIONAL_COGNATE,HIGH,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987|SRC_WAY_EDITORIAL_V01
rel-0112,ce-name-maryam,en,Maryam,ar,مريم,SOURCE_COGNATE,HIGH,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987|SRC_WAY_EDITORIAL_V01
rel-0113,ce-name-layla,ru,Лайла,en,Leila,CONVENTIONAL_LATIN_VARIANT,HIGH,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987|SRC_WAY_EDITORIAL_V01
rel-0114,ce-name-layla,tr,Leyla,ar,ليلى,SOURCE_COGNATE,HIGH,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987|SRC_WAY_EDITORIAL_V01
rel-0115,ce-name-rukiyat,ru,Рукият,ru,Рукайя,ETYMOLOGICAL_COGNATE,MEDIUM,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987|SRC_WAY_EDITORIAL_V01
rel-0116,ce-name-khava,ce,Хъава,ce,Хьава,SOURCE_OR_DIALECT_VARIANT_REVIEW,MEDIUM,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987|SRC_WAY_EDITORIAL_V01
rel-0117,ce-name-zhovkhar,ce,ЖовхӀар,ce,Жовх1ар,LEGACY_PALOCHKA_ENCODING,HIGH,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987|SRC_WAY_EDITORIAL_V01
rel-0118,ce-name-zhovkhar,ru,Жовхар,ru,Джовхар,RUSSIFIED_OR_TRANSCRIPTION_VARIANT,MEDIUM,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987|SRC_WAY_EDITORIAL_V01
rel-0119,ce-name-akhmad,ru,Ахмат,ru,Ахмад,FINAL_CONSONANT_VARIANT,HIGH,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987|SRC_WAY_EDITORIAL_V01
rel-0120,ce-name-akhmad,ce,Ахьмад,ce,Ахьмат,FINAL_CONSONANT_VARIANT,HIGH,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987|SRC_WAY_EDITORIAL_V01
rel-0121,ce-name-ibrahim,ce,ИбрахӀим,ce,Ибрах1им,LEGACY_PALOCHKA_ENCODING,HIGH,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987|SRC_WAY_EDITORIAL_V01
rel-0122,ce-name-isa,ce,Ӏиса,ce,Ӏийса,ATTESTED_VARIANT,HIGH,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987|SRC_WAY_EDITORIAL_V01
rel-0123,ce-name-ismail,ce,ИсмаьӀил,ce,Исмаь1ил,LEGACY_PALOCHKA_ENCODING,HIGH,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987|SRC_WAY_EDITORIAL_V01
rel-0124,ce-name-mokhmad,ru,Магомед,ce,Мохьмад,ATTESTED_CROSS_LANGUAGE_FORM,HIGH,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987|SRC_WAY_EDITORIAL_V01
rel-0125,ce-name-mokhmad,ce,Мохьмад,ce,Мухьмад,ATTESTED_VARIANT,HIGH,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987|SRC_WAY_EDITORIAL_V01
rel-0126,ce-name-mokhmad,ru,Магомед,en,Muhammad,ETYMOLOGICAL_COGNATE,MEDIUM,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987|SRC_WAY_EDITORIAL_V01
rel-0127,ce-name-ramzan,ru,Рамазан,ce,Рамзан,ATTESTED_CROSS_LANGUAGE_FORM,HIGH,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987|SRC_WAY_EDITORIAL_V01
rel-0128,ce-name-ramzan,en,Ramzan,en,Ramadan,ETYMOLOGICAL_COGNATE,MEDIUM,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987|SRC_WAY_EDITORIAL_V01
rel-0129,ce-name-rashed,ru,Рашид,ce,Рашед,ATTESTED_CROSS_LANGUAGE_FORM,HIGH,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987|SRC_WAY_EDITORIAL_V01
rel-0130,ce-name-said,ce,СаьӀид,ce,Саь1ид,LEGACY_PALOCHKA_ENCODING,HIGH,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987|SRC_WAY_EDITORIAL_V01
rel-0131,ce-name-suleiman,ru,Сулейман,ce,Сулима,ATTESTED_CROSS_LANGUAGE_FORM,HIGH,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987|SRC_WAY_EDITORIAL_V01
rel-0132,ce-name-yusup,ru,Юсуп,ru,Юсуф,FINAL_CONSONANT_OR_LOAN_VARIANT,HIGH,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987|SRC_WAY_EDITORIAL_V01
rel-0133,ce-name-yakub,ru,Якуб,ce,Якъуб,ATTESTED_CROSS_LANGUAGE_FORM,HIGH,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987|SRC_WAY_EDITORIAL_V01
rel-0134,ce-name-khasan,ru,Хасан,ce,Хьасан,ATTESTED_CROSS_LANGUAGE_FORM,HIGH,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987|SRC_WAY_EDITORIAL_V01
rel-0135,ce-name-khamzat,ru,Хамзат,ce,Хьамзат,ATTESTED_CROSS_LANGUAGE_FORM,HIGH,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987|SRC_WAY_EDITORIAL_V01
rel-0136,ce-name-shamil,ru,Шамиль,ce,Шемил,ATTESTED_CROSS_LANGUAGE_FORM,HIGH,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987|SRC_WAY_EDITORIAL_V01
rel-0137,ce-name-shuaib,ru,Шугаип,ce,ШоӀип,ATTESTED_CROSS_LANGUAGE_FORM,HIGH,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987|SRC_WAY_EDITORIAL_V01
rel-0138,ce-name-abdurakhman,ce,Ӏабдурахьман,ar,عبد الرحمن,ETYMOLOGICAL_SOURCE_COGNATE,MEDIUM,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987|SRC_WAY_EDITORIAL_V01
rel-0139,ce-name-umar,ru,Омар,ce,Ӏумар,ATTESTED_CROSS_LANGUAGE_FORM,HIGH,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987|SRC_WAY_EDITORIAL_V01
rel-0140,ce-name-osman,ru,Осман,ce,Ӏусман,ATTESTED_OR_SOURCE_VARIANT,MEDIUM,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987|SRC_WAY_EDITORIAL_V01
rel-0141,ce-name-beksolta,ru,Бексолтан,ce,Бексолта,ATTESTED_CROSS_LANGUAGE_FORM,HIGH,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987|SRC_WAY_EDITORIAL_V01
rel-0142,ce-name-beksolta,ce,Бексолта,ce,Бексолтан,ATTESTED_VARIANT,HIGH,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987|SRC_WAY_EDITORIAL_V01
rel-0143,ce-name-surkho,ru,Сурхо,ru,Сурхал,ATTESTED_VARIANT,HIGH,NEVER_AUTOMATIC,SRC_SUPERANSKAYA_GUSEV_1987|SRC_WAY_EDITORIAL_V01
