id,gender,origin,chechen,russian,english,german,turkish,arabic,record_status,auto_merge_people
ce-name-yazura,female,native_or_regional,Язура,Язура,Yazura,Yazura,Yazura,,ATTESTED_PRIMARY_SOURCE,false
ce-name-vaha,male,native_chechen,Ваха,Ваха,Vaha,Vaha,Vaha,,ATTESTED_PRIMARY_SOURCE,false
ce-name-vakhiyta,male,native_chechen,Вахийта,Вахийта,Vakhiyta,Vakhiyta,Vakhiyta,,ATTESTED_PRIMARY_SOURCE,false
ce-name-lecha,male,native_chechen,Леча,Леча,Lecha,Lecha,Lecha,,ATTESTED_PRIMARY_SOURCE,false
ce-name-borz,male,native_chechen,Борз,Борз,Borz,Borz,Borz,,ATTESTED_PRIMARY_SOURCE,false
ce-name-kuira,male,native_chechen,Куьра,Куьра,Kuira,Kuira,Kuira,,ATTESTED_PRIMARY_SOURCE,false
ce-name-dika,male,native_chechen,Дика,Дика,Dika,Dika,Dika,,ATTESTED_PRIMARY_SOURCE,false
ce-name-veza,male,native_chechen,Веза,Веза,Veza,Veza,Veza,,ATTESTED_PRIMARY_SOURCE,false
ce-name-visa,male,native_chechen,Виса,Виса,Visa,Visa,Visa,,ATTESTED_PRIMARY_SOURCE,false
ce-name-visar,male,native_chechen,Висар,Висар,Visar,Visar,Visar,,ATTESTED_PRIMARY_SOURCE,false
ce-name-visita,male,native_chechen,Висита,Висита,Visita,Visita,Visita,,ATTESTED_PRIMARY_SOURCE,false
ce-name-akhmad,male,arabic,Ахьмад,Ахмат,Akhmad,Akhmad,Ahmet,أحمد,ATTESTED_PRIMARY_SOURCE,false
ce-name-adam,male,semitic,Адам,Адам,Adam,Adam,Adem,آدم,ATTESTED_PRIMARY_SOURCE,false
ce-name-abubakar,male,arabic,Абубакар,Абубакар,Abubakar,Abubakar,Ebubekir,أبو بكر,ATTESTED_PRIMARY_SOURCE,false
ce-name-abdurakhman,male,arabic,Ӏабдурахьман,Абдурахман,Abdurakhman,Abdurakhman,Abdurrahman,عبد الرحمن,ATTESTED_PRIMARY_SOURCE,false
ce-name-ibrahim,male,semitic_arabic,ИбрахӀим,Ибрагим,Ibragim,Ibragim,İbrahim,إبراهيم,ATTESTED_PRIMARY_SOURCE,false
ce-name-idris,male,semitic_arabic,Идрис,Идрис,Idris,Idris,İdris,إدريس,ATTESTED_PRIMARY_SOURCE,false
ce-name-isa,male,semitic_arabic,Ӏиса,Иса,Isa,Isa,İsa,عيسى,ATTESTED_PRIMARY_SOURCE,false
ce-name-islam,male,arabic,Ислам,Ислам,Islam,Islam,İslam,إسلام,ATTESTED_PRIMARY_SOURCE,false
ce-name-ismail,male,semitic_arabic,ИсмаьӀил,Исмаил,Ismail,Ismail,İsmail,إسماعيل,ATTESTED_PRIMARY_SOURCE,false
ce-name-imran,male,semitic_arabic,Ӏимран,Имран,Imran,Imran,İmran,عمران,ATTESTED_PRIMARY_SOURCE,false
ce-name-khalid,male,arabic,Халид,Халид,Khalid,Khalid,Halid,خالد,ATTESTED_PRIMARY_SOURCE,false
ce-name-khasan,male,arabic,Хьасан,Хасан,Khasan,Khasan,Hasan,حسن,ATTESTED_PRIMARY_SOURCE,false
ce-name-khamzat,male,arabic,Хьамзат,Хамзат,Khamzat,Khamzat,Hamza,حمزة,ATTESTED_PRIMARY_SOURCE,false
ce-name-musa,male,semitic_arabic,Муса,Муса,Musa,Musa,Musa,موسى,ATTESTED_PRIMARY_SOURCE,false
ce-name-mokhmad,male,arabic,Мохьмад,Магомед,Mokhmad,Mokhmad,Muhammed,محمد,ATTESTED_PRIMARY_SOURCE,false
ce-name-ramzan,male,arabic,Рамзан,Рамазан,Ramzan,Ramzan,Ramazan,رمضان,ATTESTED_PRIMARY_SOURCE,false
ce-name-rashed,male,arabic,Рашед,Рашид,Rashed,Rashed,Raşid,رشيد,ATTESTED_PRIMARY_SOURCE,false
ce-name-said,male,arabic,СаьӀид,Саид,Said,Said,Said,سعيد,ATTESTED_PRIMARY_SOURCE,false
ce-name-suleiman,male,semitic_arabic,Сулима,Сулейман,Sulima,Sulima,Süleyman,سليمان,ATTESTED_PRIMARY_SOURCE,false
ce-name-yunus,male,semitic_arabic,Юнус,Юнус,Yunus,Yunus,Yunus,يونس,ATTESTED_PRIMARY_SOURCE,false
ce-name-yusup,male,semitic_arabic,Юсуп,Юсуп,Yusup,Yusup,Yusuf,يوسف,ATTESTED_PRIMARY_SOURCE,false
ce-name-yakub,male,semitic_arabic,Якъуб,Якуб,Yakub,Yakub,Yakup,يعقوب,ATTESTED_PRIMARY_SOURCE,false
ce-name-bilal,male,arabic,Билал,Билал,Bilal,Bilal,Bilal,بلال,ATTESTED_PRIMARY_SOURCE,false
ce-name-daud,male,semitic_arabic,Дауд,Дауд,Daud,Daud,Davut,داود,ATTESTED_PRIMARY_SOURCE,false
ce-name-osman,male,arabic,Осман,Осман,Osman,Osman,Osman,عثمان,ATTESTED_PRIMARY_SOURCE,false
ce-name-umar,male,arabic,Ӏумар,Омар,Umar,Umar,Ömer,عمر,ATTESTED_PRIMARY_SOURCE,false
ce-name-shamil,male,arabic_or_regional,Шемил,Шамиль,Shemil,Shemil,Şamil,شامل,ATTESTED_PRIMARY_SOURCE,false
ce-name-shuaib,male,semitic_arabic,ШоӀип,Шугаип,Shoip,Shoip,Şuayb,شعيب,ATTESTED_PRIMARY_SOURCE,false
ce-name-jabrail,male,semitic_arabic,Джабраьил,Джабраил,Dzhabrail,Dzhabrail,Cebrail,جبريل,ATTESTED_PRIMARY_SOURCE,false
ce-name-zaur,male,regional_caucasian,Заур,Заур,Zaur,Zaur,Zaur,,ATTESTED_PRIMARY_SOURCE,false
ce-name-anzor,male,regional_caucasian,Анзор,Анзор,Anzor,Anzor,Anzor,,ATTESTED_PRIMARY_SOURCE,false
ce-name-beka,male,regional_caucasian,Бека,Бека,Beka,Beka,Beka,,ATTESTED_PRIMARY_SOURCE,false
ce-name-beksolta,male,turkic_regional,Бексолта,Бексолтан,Beksolta,Beksolta,Beksolta,,ATTESTED_PRIMARY_SOURCE,false
ce-name-surkho,male,native_or_regional,Сурхо,Сурхо,Surkho,Surkho,Surkho,,ATTESTED_PRIMARY_SOURCE,false
ce-name-movsar,male,native_or_regional,Мовсар,Мовсар,Movsar,Movsar,Movsar,,ATTESTED_PRIMARY_SOURCE,false
